date,player,team,opp,market,line,proj_lambda,lam_scale_mean,p_over,side,chosen_prob
2026-01-24,Jamie Drysdale,PHI,,BLOCKS,3.5,0.1126,1.0,0.000115,Under,0.999885
2026-01-24,Jonathan Drouin,NYI,BUF,BLOCKS,3.5,0.1171,1.0,0.00012,Under,0.99988
2026-01-24,Kyle Palmieri,NYI,BUF,BLOCKS,3.5,0.1171,1.0,0.00012,Under,0.99988
2026-01-24,Samuel Ersson,PHI,,SAVES,24.5,2.229,1.0,0.000124,Under,0.999876
2026-01-24,Maxim Tsyplakov,NYI,BUF,BLOCKS,2.5,0.054,1.0,0.000134,Under,0.999866
2026-01-24,Kurtis MacDermid,OTT,CAR,BLOCKS,2.5,0.0541,1.0,0.000136,Under,0.999864
2026-01-24,Aatu Raty,VAN,,BLOCKS,3.5,0.1209,1.0,0.000138,Under,0.999862
2026-01-24,Jayden Struble,MTL,BOS,BLOCKS,3.5,0.1267,0.98,0.000144,Under,0.999856
2026-01-24,Sam Lafferty,CHI,,BLOCKS,3.5,0.1227,1.0,0.000145,Under,0.999855
2026-01-24,Brendan Gallagher,MTL,BOS,BLOCKS,3.5,0.1286,0.98,0.000152,Under,0.999848
2026-01-24,Warren Foegele,LAK,STL,BLOCKS,3.5,0.1301,1.0,0.000157,Under,0.999843
2026-01-24,Tim Washe,ANA,,BLOCKS,2.5,0.0573,1.0,0.000158,Under,0.999842
2026-01-24,Philipp Kurashev,SJS,,BLOCKS,3.5,0.1281,1.0,0.000159,Under,0.999841
2026-01-24,Andrei Kuzmenko,LAK,STL,BLOCKS,3.5,0.1321,1.0,0.000166,Under,0.999834
2026-01-24,Drake Batherson,OTT,CAR,BLOCKS,3.5,0.1285,1.0,0.00017,Under,0.99983
2026-01-24,Leon Draisaitl,EDM,WSH,BLOCKS,3.5,0.1333,1.0,0.000177,Under,0.999823
2026-01-24,Trent Frederic,EDM,WSH,BLOCKS,2.5,0.0617,1.0,0.000185,Under,0.999815
2026-01-24,Andrew Mangiapane,EDM,WSH,BLOCKS,3.5,0.1354,1.0,0.000186,Under,0.999814
2026-01-24,Joe Veleno,MTL,BOS,BLOCKS,2.5,0.0628,0.98,0.00019,Under,0.99981
2026-01-24,Kaapo Kakko,SEA,,BLOCKS,2.5,0.0606,1.0,0.000193,Under,0.999807
2026-01-24,Kyle Connor,WPG,DET,BLOCKS,3.5,0.135,1.0,0.000196,Under,0.999804
2026-01-24,Cole Koepke,WPG,DET,BLOCKS,3.5,0.135,1.0,0.000196,Under,0.999804
2026-01-24,Nikita Tolopilo,VAN,,SAVES,24.5,2.5082,1.0,0.0002,Under,0.9998
2026-01-24,Oliver Bjorkstrand,TBL,CBJ,BLOCKS,3.5,0.1371,1.0,0.0002,Under,0.9998
2026-01-24,Michael Bunting,NSH,UTA,BLOCKS,2.5,0.0647,1.0,0.000224,Under,0.999776
2026-01-24,Yan Kuznetsov,CGY,,BLOCKS,3.5,0.1444,1.0,0.000244,Under,0.999756
2026-01-24,Emmitt Finnie,DET,WPG,BLOCKS,3.5,0.1452,1.0,0.000254,Under,0.999746
2026-01-24,Calle Jarnkrok,TOR,,BLOCKS,3.5,0.1426,1.0,0.000256,Under,0.999744
2026-01-24,Noah Philp,CAR,OTT,BLOCKS,3.5,0.1444,1.0,0.000257,Under,0.999743
2026-01-24,Eric Robinson,CAR,OTT,BLOCKS,3.5,0.1444,1.0,0.000257,Under,0.999743
2026-01-24,Aliaksei Protas,WSH,EDM,BLOCKS,3.5,0.1557,1.0,0.000304,Under,0.999696
2026-01-24,Artemi Panarin,NYR,,BLOCKS,3.5,0.1574,1.0,0.000344,Under,0.999656
2026-01-24,Sam Steel,DAL,,BLOCKS,3.5,0.1636,1.0,0.000383,Under,0.999617
2026-01-24,Tomas Hertl,VGK,,BLOCKS,3.5,0.1619,1.0,0.00039,Under,0.99961
2026-01-24,Jonatan Berggren,STL,LAK,BLOCKS,2.5,0.0821,1.0,0.000403,Under,0.999597
2026-01-24,Matt Boldy,MIN,FLA,BLOCKS,3.5,0.1621,1.0,0.000406,Under,0.999594
2026-01-24,A.J. Greer,FLA,MIN,BLOCKS,3.5,0.1623,1.0,0.000408,Under,0.999592
2026-01-24,Isaac Howard,EDM,WSH,BLOCKS,2.5,0.0818,1.0,0.00041,Under,0.99959
2026-01-24,Alex Nedeljkovic,SJS,,SAVES,30.5,3.6497,1.0,0.000431,Under,0.999569
2026-01-24,Pius Suter,STL,LAK,BLOCKS,3.5,0.1742,1.0,0.000436,Under,0.999564
2026-01-24,Connor Zary,CGY,,BLOCKS,3.5,0.1707,1.0,0.000437,Under,0.999563
2026-01-24,Matt Coronato,CGY,,BLOCKS,3.5,0.171,1.0,0.00044,Under,0.99956
2026-01-24,Samuel Honzek,CGY,,BLOCKS,3.5,0.171,1.0,0.00044,Under,0.99956
2026-01-24,Hunter Brzustewicz,CGY,,BLOCKS,3.5,0.171,1.0,0.00044,Under,0.99956
2026-01-24,Brandon Saad,VGK,,BLOCKS,3.5,0.1689,1.0,0.00045,Under,0.99955
2026-01-24,Roope Hintz,DAL,,BLOCKS,3.5,0.1741,1.0,0.000474,Under,0.999526
2026-01-24,Matt Duchene,DAL,,BLOCKS,3.5,0.1741,1.0,0.000474,Under,0.999526
2026-01-24,Justin Hryckowian,DAL,,BLOCKS,3.5,0.1741,1.0,0.000474,Under,0.999526
2026-01-24,Alex Killorn,ANA,,BLOCKS,3.5,0.1744,1.0,0.00048,Under,0.99952
2026-01-24,Leo Carlsson,ANA,,BLOCKS,3.5,0.1744,1.0,0.00048,Under,0.99952
2026-01-24,Mason McTavish,ANA,,BLOCKS,3.5,0.1744,1.0,0.00048,Under,0.99952
2026-01-24,Sam Colangelo,ANA,,BLOCKS,3.5,0.1744,1.0,0.00048,Under,0.99952
2026-01-24,Hunter Shepard,OTT,CAR,SAVES,30.5,3.4986,1.0,0.000491,Under,0.999509
2026-01-24,Albert Johansson,DET,WPG,BLOCKS,3.5,0.1774,1.0,0.000507,Under,0.999493
2026-01-24,Valeri Nichushkin,COL,,BLOCKS,3.5,0.1829,1.0,0.000539,Under,0.999461
2026-01-24,Carter Verhaeghe,FLA,MIN,BLOCKS,3.5,0.177,1.0,0.000548,Under,0.999452
2026-01-24,Mackie Samoskevich,FLA,MIN,BLOCKS,3.5,0.177,1.0,0.000548,Under,0.999452
2026-01-24,Dylan Larkin,DET,WPG,BLOCKS,3.5,0.1815,1.0,0.000548,Under,0.999452
2026-01-24,Vladimir Tarasenko,MIN,FLA,BLOCKS,3.5,0.1774,1.0,0.000552,Under,0.999448
2026-01-24,Nico Sturm,MIN,FLA,BLOCKS,3.5,0.1774,1.0,0.000552,Under,0.999448
2026-01-24,Kirill Kaprizov,MIN,FLA,BLOCKS,3.5,0.1774,1.0,0.000552,Under,0.999448
2026-01-24,Marcus Johansson,MIN,FLA,BLOCKS,3.5,0.1774,1.0,0.000552,Under,0.999448
2026-01-24,Andre Lee,LAK,STL,BLOCKS,3.5,0.1873,1.0,0.000559,Under,0.999441
2026-01-24,Jeff Skinner,SJS,,BLOCKS,3.5,0.1878,1.0,0.000601,Under,0.999399
2026-01-24,Joel Kiviranta,COL,,BLOCKS,3.5,0.1892,1.0,0.000604,Under,0.999396
2026-01-24,Martin Necas,COL,,BLOCKS,3.5,0.1892,1.0,0.000604,Under,0.999396
2026-01-24,Mason Marchment,CBJ,TBL,BLOCKS,2.5,0.0933,1.0,0.000605,Under,0.999395
2026-01-24,Anders Lee,NYI,BUF,BLOCKS,3.5,0.1873,1.0,0.000618,Under,0.999382
2026-01-24,Jack Quinn,BUF,NYI,BLOCKS,3.5,0.1892,1.0,0.000639,Under,0.999361
2026-01-24,Nils Aman,VAN,,BLOCKS,3.5,0.1899,1.0,0.000665,Under,0.999335
2026-01-24,Cam Hebig,UTA,NSH,BLOCKS,2.5,0.0962,1.0,0.000678,Under,0.999322
2026-01-24,Morgan Frost,CGY,,BLOCKS,2.5,0.0971,1.0,0.000678,Under,0.999322
2026-01-24,Clayton Keller,UTA,NSH,BLOCKS,2.5,0.0962,1.0,0.000678,Under,0.999322
2026-01-24,Jacob Bryson,BUF,NYI,BLOCKS,3.5,0.1932,1.0,0.000685,Under,0.999315
2026-01-24,Ilya Mikheyev,CHI,,BLOCKS,3.5,0.1924,1.0,0.000686,Under,0.999314
2026-01-24,Nick Lardis,CHI,,BLOCKS,3.5,0.1924,1.0,0.000686,Under,0.999314
2026-01-24,Alex Nedeljkovic,SJS,,SAVES,28.5,3.6497,1.0,0.000698,Under,0.999302
2026-01-24,Miles Wood,CBJ,TBL,BLOCKS,3.5,0.198,1.0,0.000715,Under,0.999285
2026-01-24,Anton Lundell,FLA,MIN,BLOCKS,2.5,0.0967,1.0,0.000718,Under,0.999282
2026-01-24,Kyle MacLean,NYI,BUF,BLOCKS,3.5,0.1966,1.0,0.000726,Under,0.999274
2026-01-24,Tyson Jost,NSH,UTA,BLOCKS,3.5,0.198,1.0,0.000739,Under,0.999261
2026-01-24,Matthew Wood,NSH,UTA,BLOCKS,3.5,0.198,1.0,0.000739,Under,0.999261
2026-01-24,Patrick Kane,DET,WPG,BLOCKS,3.5,0.1992,1.0,0.00075,Under,0.99925
2026-01-24,Hunter Shepard,OTT,CAR,SAVES,28.5,3.4986,1.0,0.000756,Under,0.999244
2026-01-24,Nikita Grebenkin,PHI,,BLOCKS,3.5,0.1944,1.0,0.000765,Under,0.999235
2026-01-24,Nils Hoglander,VAN,,BLOCKS,3.5,0.1992,1.0,0.000781,Under,0.999219
2026-01-24,Evander Kane,VAN,,BLOCKS,3.5,0.1992,1.0,0.000781,Under,0.999219
2026-01-24,Tyler Seguin,DAL,,BLOCKS,2.5,0.103,1.0,0.000801,Under,0.999199
2026-01-24,Nathan Bastian,DAL,,BLOCKS,2.5,0.103,1.0,0.000801,Under,0.999199
2026-01-24,Tom Wilson,WSH,EDM,BLOCKS,3.5,0.2069,1.0,0.000803,Under,0.999197
2026-01-24,Trevor Zegras,PHI,,BLOCKS,3.5,0.1982,1.0,0.000814,Under,0.999186
2026-01-24,Mikey Anderson,LAK,STL,BLOCKS,3.5,0.2111,1.0,0.000834,Under,0.999166
2026-01-24,Cole Caufield,MTL,BOS,BLOCKS,3.5,0.2111,0.98,0.00084,Under,0.99916
2026-01-24,Josh Anderson,MTL,BOS,BLOCKS,3.5,0.2111,0.98,0.00084,Under,0.99916
2026-01-24,Alex Newhook,MTL,BOS,BLOCKS,3.5,0.2111,0.98,0.00084,Under,0.99916
2026-01-24,Gavin Brindley,COL,,BLOCKS,3.5,0.2117,1.0,0.000878,Under,0.999122
2026-01-24,Samuel Helenius,LAK,STL,BLOCKS,3.5,0.2191,1.0,0.000944,Under,0.999056
2026-01-24,Zach Hyman,EDM,WSH,BLOCKS,3.5,0.2178,1.0,0.000952,Under,0.999048
2026-01-24,Sammy Blais,MTL,BOS,BLOCKS,3.5,0.22,0.98,0.000963,Under,0.999037
2026-01-24,Travis Konecny,PHI,,BLOCKS,2.5,0.1075,1.0,0.000972,Under,0.999028
2026-01-24,Nick Cousins,OTT,CAR,BLOCKS,3.5,0.2153,1.0,0.000992,Under,0.999008
2026-01-24,Egor Chinakhov,PIT,,BLOCKS,2.5,0.1132,1.0,0.001029,Under,0.998971
2026-01-24,Konsta Helenius,BUF,NYI,BLOCKS,3.5,0.2191,1.0,0.001041,Under,0.998959
2026-01-24,Filip Forsberg,NSH,UTA,BLOCKS,2.5,0.1134,1.0,0.00106,Under,0.99894
2026-01-24,Jonathan Marchessault,NSH,UTA,BLOCKS,2.5,0.1134,1.0,0.00106,Under,0.99894
2026-01-24,Evgeni Malkin,PIT,,BLOCKS,3.5,0.2246,1.0,0.001097,Under,0.998903
2026-01-24,Victor Olofsson,COL,,BLOCKS,2.5,0.117,1.0,0.001098,Under,0.998902
2026-01-24,Jamie Drysdale,PHI,,BLOCKS,2.5,0.1126,1.0,0.0011,Under,0.9989
2026-01-24,Anthony Mantha,PIT,,BLOCKS,3.5,0.2252,1.0,0.001108,Under,0.998892
2026-01-24,Kyle Palmieri,NYI,BUF,BLOCKS,2.5,0.1171,1.0,0.001144,Under,0.998856
2026-01-24,Jonathan Drouin,NYI,BUF,BLOCKS,2.5,0.1171,1.0,0.001144,Under,0.998856
2026-01-24,Alex Nedeljkovic,SJS,,SAVES,26.5,3.6497,1.0,0.001164,Under,0.998836
2026-01-24,Teddy Blueger,VAN,,BLOCKS,3.5,0.2249,1.0,0.001166,Under,0.998834
2026-01-24,Hunter Shepard,OTT,CAR,SAVES,26.5,3.4986,1.0,0.001185,Under,0.998815
2026-01-24,Kevin Fiala,LAK,STL,BLOCKS,3.5,0.2353,1.0,0.001192,Under,0.998808
2026-01-24,Jordan Kyrou,STL,LAK,BLOCKS,3.5,0.2356,1.0,0.001196,Under,0.998804
2026-01-24,Jake Oettinger,DAL,,SAVES,30.5,4.1332,1.0,0.001227,Under,0.998773
2026-01-24,Nikita Kucherov,TBL,CBJ,BLOCKS,3.5,0.2332,1.0,0.001232,Under,0.998768
2026-01-24,Jack Finley,TBL,CBJ,BLOCKS,3.5,0.2332,1.0,0.001232,Under,0.998768
2026-01-24,Zemgus Girgensons,TBL,CBJ,BLOCKS,3.5,0.2332,1.0,0.001232,Under,0.998768
2026-01-24,Aatu Raty,VAN,,BLOCKS,2.5,0.1209,1.0,0.00128,Under,0.99872
2026-01-24,Sam Lafferty,CHI,,BLOCKS,2.5,0.1227,1.0,0.001311,Under,0.998689
2026-01-24,Matias Maccelli,TOR,,BLOCKS,3.5,0.2314,1.0,0.001314,Under,0.998686
2026-01-24,John Tavares,TOR,,BLOCKS,3.5,0.2314,1.0,0.001314,Under,0.998686
2026-01-24,Jayden Struble,MTL,BOS,BLOCKS,2.5,0.1267,0.98,0.001316,Under,0.998684
2026-01-24,Eric Comrie,WPG,DET,SAVES,30.5,4.2454,1.0,0.001323,Under,0.998677
2026-01-24,Brendan Gallagher,MTL,BOS,BLOCKS,2.5,0.1286,0.98,0.001368,Under,0.998632
2026-01-24,Nino Niederreiter,WPG,DET,BLOCKS,3.5,0.2391,1.0,0.00137,Under,0.99863
2026-01-24,Andrei Svechnikov,CAR,OTT,BLOCKS,3.5,0.2385,1.0,0.001382,Under,0.998618
2026-01-24,Jesperi Kotkaniemi,CAR,OTT,BLOCKS,3.5,0.2385,1.0,0.001382,Under,0.998618
2026-01-24,Connor Brown,NJD,,BLOCKS,3.5,0.2421,1.0,0.001395,Under,0.998605
2026-01-24,Warren Foegele,LAK,STL,BLOCKS,2.5,0.1301,1.0,0.001414,Under,0.998586
2026-01-24,Philipp Kurashev,SJS,,BLOCKS,2.5,0.1281,1.0,0.001436,Under,0.998564
2026-01-24,Pierre-Luc Dubois,WSH,EDM,BLOCKS,3.5,0.2472,1.0,0.001441,Under,0.998559
2026-01-24,Michael Amadio,OTT,CAR,BLOCKS,3.5,0.2432,1.0,0.001473,Under,0.998527
2026-01-24,Claude Giroux,OTT,CAR,BLOCKS,3.5,0.2432,1.0,0.001473,Under,0.998527
2026-01-24,Andrei Kuzmenko,LAK,STL,BLOCKS,2.5,0.1321,1.0,0.001474,Under,0.998526
2026-01-24,Drake Batherson,OTT,CAR,BLOCKS,2.5,0.1285,1.0,0.001482,Under,0.998518
2026-01-24,Leon Draisaitl,EDM,WSH,BLOCKS,2.5,0.1333,1.0,0.00155,Under,0.99845
2026-01-24,Adam Erne,DAL,,BLOCKS,3.5,0.2496,1.0,0.001557,Under,0.998443
2026-01-24,Ryan Leonard,WSH,EDM,BLOCKS,3.5,0.2535,1.0,0.001562,Under,0.998438
2026-01-24,Dylan Strome,WSH,EDM,BLOCKS,3.5,0.2535,1.0,0.001562,Under,0.998438
2026-01-24,Alex Ovechkin,WSH,EDM,BLOCKS,3.5,0.2535,1.0,0.001562,Under,0.998438
2026-01-24,Sonny Milano,WSH,EDM,BLOCKS,3.5,0.2535,1.0,0.001562,Under,0.998438
2026-01-24,Andrew Mangiapane,EDM,WSH,BLOCKS,2.5,0.1354,1.0,0.001615,Under,0.998385
2026-01-24,Jonas Rondbjerg,VGK,,BLOCKS,3.5,0.2494,1.0,0.001636,Under,0.998364
2026-01-24,Tanner Laczynski,VGK,,BLOCKS,3.5,0.2494,1.0,0.001636,Under,0.998364
2026-01-24,Ryan Strome,ANA,,BLOCKS,3.5,0.2535,1.0,0.001659,Under,0.998341
2026-01-24,Cole Koepke,WPG,DET,BLOCKS,2.5,0.135,1.0,0.001673,Under,0.998327
2026-01-24,Kyle Connor,WPG,DET,BLOCKS,2.5,0.135,1.0,0.001673,Under,0.998327
2026-01-24,Alex DeBrincat,DET,WPG,BLOCKS,3.5,0.2556,1.0,0.001698,Under,0.998302
2026-01-24,Oliver Bjorkstrand,TBL,CBJ,BLOCKS,2.5,0.1371,1.0,0.001712,Under,0.998288
2026-01-24,Dalibor Dvorsky,STL,LAK,BLOCKS,3.5,0.265,1.0,0.001749,Under,0.998251
2026-01-24,Berkly Catton,SEA,,BLOCKS,3.5,0.254,1.0,0.001752,Under,0.998248
2026-01-24,William Nylander,TOR,,BLOCKS,3.5,0.2548,1.0,0.001787,Under,0.998213
2026-01-24,Jake Oettinger,DAL,,SAVES,28.5,4.1332,1.0,0.001818,Under,0.998182
2026-01-24,Ivan Barbashev,VGK,,BLOCKS,3.5,0.2598,1.0,0.001861,Under,0.998139
2026-01-24,Brett Howden,VGK,,BLOCKS,3.5,0.2598,1.0,0.001861,Under,0.998139
2026-01-24,Hunter Shepard,OTT,CAR,SAVES,24.5,3.4986,1.0,0.001886,Under,0.998114
2026-01-24,Mavrik Bourque,DAL,,BLOCKS,1.5,0.0462,1.0,0.001931,Under,0.998069
2026-01-24,Jason Zucker,BUF,NYI,BLOCKS,1.5,0.0466,1.0,0.001962,Under,0.998038
2026-01-24,Yan Kuznetsov,CGY,,BLOCKS,2.5,0.1444,1.0,0.001972,Under,0.998028
2026-01-24,Alex Nedeljkovic,SJS,,SAVES,24.5,3.6497,1.0,0.001974,Under,0.998026
2026-01-24,Noah Philp,CAR,OTT,BLOCKS,2.5,0.1444,1.0,0.002018,Under,0.997982
2026-01-24,Eric Robinson,CAR,OTT,BLOCKS,2.5,0.1444,1.0,0.002018,Under,0.997982
2026-01-24,Calle Jarnkrok,TOR,,BLOCKS,2.5,0.1426,1.0,0.002019,Under,0.997981
2026-01-24,Emmitt Finnie,DET,WPG,BLOCKS,2.5,0.1452,1.0,0.002029,Under,0.997971
2026-01-24,Jeffrey Viel,ANA,,BLOCKS,3.5,0.2715,1.0,0.002064,Under,0.997936
2026-01-24,Eric Comrie,WPG,DET,SAVES,28.5,4.2454,1.0,0.002075,Under,0.997925
2026-01-24,Jacob Melanson,SEA,,BLOCKS,3.5,0.2699,1.0,0.002123,Under,0.997877
2026-01-24,J.T. Miller,NYR,,BLOCKS,3.5,0.2733,1.0,0.002142,Under,0.997858
2026-01-24,Nathan MacKinnon,COL,,BLOCKS,3.5,0.2831,1.0,0.002243,Under,0.997757
2026-01-24,Liam O'Brien,UTA,NSH,BLOCKS,3.5,0.2796,1.0,0.002278,Under,0.997722
2026-01-24,Cole Reinhardt,VGK,,BLOCKS,3.5,0.2786,1.0,0.002321,Under,0.997679
2026-01-24,Aliaksei Protas,WSH,EDM,BLOCKS,2.5,0.1557,1.0,0.002333,Under,0.997667
2026-01-24,Tanner Pearson,WPG,DET,BLOCKS,3.5,0.2867,1.0,0.002442,Under,0.997558
2026-01-24,Jansen Harkins,ANA,,BLOCKS,3.5,0.2882,1.0,0.002488,Under,0.997512
2026-01-24,Michael Eyssimont,BOS,MTL,BLOCKS,3.5,0.2848,1.02,0.002502,Under,0.997498
2026-01-24,Casey Mittelstadt,BOS,MTL,BLOCKS,3.5,0.2848,1.02,0.002502,Under,0.997498
2026-01-24,Artemi Panarin,NYR,,BLOCKS,2.5,0.1574,1.0,0.002532,Under,0.997468
2026-01-24,Ryan Lomberg,CGY,,BLOCKS,3.5,0.2916,1.0,0.002537,Under,0.997463
2026-01-24,Nazem Kadri,CGY,,BLOCKS,3.5,0.2916,1.0,0.002537,Under,0.997463
2026-01-24,Ben Meyers,SEA,,BLOCKS,3.5,0.2859,1.0,0.002541,Under,0.997459
2026-01-24,Alexander Holtz,VGK,,BLOCKS,3.5,0.2869,1.0,0.002542,Under,0.997458
2026-01-24,Robert Thomas,STL,LAK,BLOCKS,3.5,0.2985,1.0,0.002544,Under,0.997456
2026-01-24,Matthew Knies,TOR,,BLOCKS,3.5,0.2854,1.0,0.002551,Under,0.997449
2026-01-24,Maxim Tsyplakov,NYI,BUF,BLOCKS,1.5,0.054,1.0,0.002602,Under,0.997398
2026-01-24,Mikael Backlund,CGY,,BLOCKS,3.5,0.2948,1.0,0.002624,Under,0.997376
2026-01-24,Kurtis MacDermid,OTT,CAR,BLOCKS,1.5,0.0541,1.0,0.002643,Under,0.997357
2026-01-24,Brendan Smith,CBJ,TBL,BLOCKS,3.5,0.2983,1.0,0.002705,Under,0.997295
2026-01-24,Will Smith,SJS,,BLOCKS,3.5,0.2983,1.0,0.00271,Under,0.99729
2026-01-24,Jake Oettinger,DAL,,SAVES,26.5,4.1332,1.0,0.002716,Under,0.997284
2026-01-24,Sam Steel,DAL,,BLOCKS,2.5,0.1636,1.0,0.002731,Under,0.997269
2026-01-24,Tomas Hertl,VGK,,BLOCKS,2.5,0.1619,1.0,0.002774,Under,0.997226
2026-01-24,Cole Smith,NSH,UTA,BLOCKS,3.5,0.2983,1.0,0.002791,Under,0.997209
2026-01-24,Zach Benson,BUF,NYI,BLOCKS,3.5,0.2991,1.0,0.002801,Under,0.997199
2026-01-24,Jordan Greenway,BUF,NYI,BLOCKS,3.5,0.2994,1.0,0.002809,Under,0.997191
2026-01-24,Matt Boldy,MIN,FLA,BLOCKS,2.5,0.1621,1.0,0.00283,Under,0.99717
2026-01-24,Pavol Regenda,SJS,,BLOCKS,3.5,0.3027,1.0,0.002836,Under,0.997164
2026-01-24,A.J. Greer,FLA,MIN,BLOCKS,2.5,0.1623,1.0,0.00284,Under,0.99716
2026-01-24,Sean Monahan,CBJ,TBL,BLOCKS,3.5,0.3038,1.0,0.002863,Under,0.997137
2026-01-24,Reilly Smith,VGK,,BLOCKS,3.5,0.2983,1.0,0.002867,Under,0.997133
2026-01-24,Tim Washe,ANA,,BLOCKS,1.5,0.0573,1.0,0.002924,Under,0.997076
2026-01-24,Cutter Gauthier,ANA,,BLOCKS,3.5,0.3044,1.0,0.002949,Under,0.997051
